iter	F1	Logloss
105	0.9451669317	0.1888424283
106	0.9454098078	0.1880125499
107	0.9457743562	0.1865119328
108	0.946382562	0.1852993471
109	0.946504297	0.1836989044
110	0.9465651763	0.1830433164
111	0.9466260634	0.1825422746
112	0.9466869583	0.1819684755
113	0.9464434256	0.1808156103
114	0.9465651763	0.180073251
115	0.946504297	0.1797569197
116	0.9468087716	0.1787836748
117	0.9468087716	0.1784991631
118	0.9466869583	0.1775523028
119	0.9466869583	0.1775509575
120	0.946747861	0.1761995683
121	0.9469915505	0.1750577954
122	0.9475403106	0.1738047077
123	0.9476013233	0.1735476967
124	0.9475403106	0.1731140644
125	0.9478454523	0.1718270567
126	0.9477844082	0.1714435632
127	0.9477844082	0.1707495852
128	0.9479065042	0.1697052496
129	0.9482729809	0.1679749878
130	0.9483952028	0.1671970807
131	0.9483952028	0.1671229757
132	0.9486397411	0.1664020588
133	0.9485785947	0.16621037
134	0.9485785947	0.1660545826
135	0.9486397411	0.1657263844
136	0.9488232277	0.1653674113
137	0.9488232277	0.1648047998
138	0.9490067852	0.1644549183
139	0.9491904137	0.1636032541
140	0.9493741133	0.1628579408
141	0.949251639	0.1620575113
142	0.9493128722	0.1618732212
143	0.9493741133	0.1615695435
144	0.9493741133	0.1614802796
145	0.9493741133	0.161048612
146	0.9493741133	0.1609908402
147	0.9494353623	0.1601970211
148	0.9494353623	0.159795778
149	0.9494966192	0.1589981328
150	0.9496191568	0.1582920908
151	0.9496804374	0.1576349988
152	0.9496804374	0.1573619795
153	0.9501096234	0.1563512509
154	0.9501709673	0.155065999
155	0.9503550467	0.1543027321
156	0.9503550467	0.1542788084
157	0.950293679	0.154195619
158	0.9504164224	0.1529777568
159	0.9505391974	0.1523720662
160	0.952591716	0.1519301536
161	0.9507234196	0.1513906004
162	0.9507848428	0.1506076028
163	0.9509077131	0.1499664704
164	0.9529603956	0.1497377546
165	0.9529603956	0.1492826695
166	0.9530218699	0.1489011916
167	0.9530218699	0.1485077133
168	0.9530833522	0.1483070742
169	0.9532063406	0.1475611329
170	0.9533293607	0.1472062846
171	0.9533293607	0.1470544497
172	0.9533293607	0.1470076885
173	0.9532678467	0.1467630823
174	0.9533293607	0.1465911076
175	0.9533908827	0.1458638238
176	0.9533908827	0.1458058757
177	0.9533908827	0.1456064142
178	0.9533908827	0.1448725819
179	0.9533908827	0.144829542
180	0.9534524126	0.1444093113
181	0.9534524126	0.1443787428
182	0.9534524126	0.1443787413
183	0.9534524126	0.1443786873
184	0.9534524126	0.1443534245
185	0.9535754962	0.1434352707
186	0.9535139504	0.1428088274
187	0.9535139504	0.1421799611
188	0.9535139504	0.1421562359
189	0.9535139504	0.1420516103
190	0.9535754962	0.1415570524
191	0.9535754962	0.1415540643
192	0.9536370499	0.1415308038
193	0.9536370499	0.1411965215
194	0.9536986116	0.1408418985
195	0.9536986116	0.1407896037
196	0.9537601812	0.140357327
197	0.954129766	0.1393904333
198	0.9541913913	0.1388257921
199	0.9543763151	0.138477562
200	0.9543763151	0.1383071489
201	0.9545613105	0.1376514918
202	0.9546846806	0.1373184823
203	0.9548697956	0.1368232797
204	0.9548697956	0.1367744908
205	0.9548080826	0.1363668868
206	0.9548697956	0.1358365256
207	0.9549315165	0.1353869125
208	0.9550549824	0.1348324087
209	0.9551167273	0.1346213263
210	0.955240241	0.1343283783
211	0.955240241	0.1341782102
212	0.9553637867	0.1338787691
213	0.9553637867	0.1337898788
214	0.9553637867	0.133776073
215	0.9554873643	0.1336592568
216	0.9555491651	0.1332292801
217	0.9556727908	0.1329511927
218	0.9556727908	0.1328386295
219	0.9556727908	0.1328103703
220	0.9556109739	0.1323764426
221	0.9558582892	0.1320165279
222	0.955920138	0.1318750625
223	0.9557346156	0.131520396
224	0.955920138	0.1309761675
225	0.955920138	0.1308003181
226	0.955920138	0.1307765403
227	0.9559819948	0.1303913758
228	0.9561676133	0.1303388178
229	0.9564152167	0.1298935583
230	0.9564152167	0.1298926007
231	0.9565390665	0.1294079938
232	0.9564152167	0.1291766786
233	0.9569727936	0.1286004375
234	0.9570347868	0.1279007817
235	0.9570347868	0.1273225739
236	0.9590822018	0.126706605
237	0.9590201826	0.1266361772
238	0.9590201826	0.1264454508
239	0.9590201826	0.1257112714
240	0.959144229	0.1249009472
241	0.9592062643	0.1245599647
242	0.9592062643	0.1245591782
243	0.9592062643	0.1242954115
244	0.9592062643	0.1242031949
245	0.9592062643	0.124025319
246	0.9592683076	0.1238963981
247	0.9592062643	0.1233377462
248	0.9611846588	0.123076324
249	0.9610605613	0.1227628718
250	0.9612467196	0.1224173018
251	0.9613708651	0.1221874708
252	0.9614950428	0.1219504223
253	0.9614950428	0.1218584118
254	0.96143295	0.1217553522
255	0.96143295	0.1217553518
256	0.96143295	0.1216456214
257	0.9632801989	0.1213148652
258	0.9632801989	0.1207748997
259	0.9635907477	0.1203402093
260	0.9636528815	0.1202661659
261	0.9654931166	0.120115357
262	0.9655552587	0.1197579875
263	0.9656174089	0.1196282053
264	0.9676371627	0.1192549593
265	0.9676371627	0.1189112116
266	0.9675749887	0.1189031775
267	0.9678859389	0.1185788968
268	0.9678859389	0.1184057089
269	0.9662393511	0.1178432824
270	0.9661771209	0.1175704917
271	0.9661771209	0.1174782841
272	0.9662393511	0.1173051114
273	0.9662393511	0.1172475816
274	0.9664883524	0.1158684003
275	0.9664883524	0.1156359227
276	0.9664883524	0.1152168152
277	0.9683216051	0.1148236522
278	0.9683838752	0.1144142127
279	0.9686330355	0.1139973649
280	0.9686330355	0.1137905596
281	0.9688199899	0.1132218992
282	0.9687576637	0.1127802548
283	0.9688199899	0.1126759585
284	0.9689446662	0.1121384381
285	0.9689446662	0.1117107283
286	0.9689446662	0.1114974089
287	0.9689446662	0.1111085146
288	0.9691317409	0.1107455858
289	0.9692564976	0.10996491
